1,-810,735
2,-438,534
3,-64,-288
4,-472,-621
5,239,-359
6,631,287
7,20,-335
8,-969,-501
9,495,-560
10,-67,667
11,-727,-671
12,-577,846
13,-867,627
14,833,-827
15,-582,42
16,-79,242
17,-818,476
18,-591,-614
19,644,89
20,-603,109
21,287,376
22,509,-280
23,6,638
24,-245,-55
25,-823,-463
26,-756,418
27,703,907
28,705,-461
29,-387,-231
30,-385,-711
31,-815,448
32,550,558
33,-990,-561
34,-695,-122
35,993,493
36,-124,-631
37,895,782
38,353,-786
39,-433,-634
40,-343,-86
41,-224,-700
42,-435,-316
43,534,183
44,-808,-173
45,604,337
46,508,-877
47,509,916
48,244,99
49,-160,-216
50,295,407
51,940,-642
52,-19,-566
53,-100,515
54,763,36
55,46,886
56,946,913
57,593,-919
58,-132,-924
59,-449,994
60,351,-314
61,183,-999
62,-628,-206
63,17,76
64,834,888
65,-550,-603
66,-631,425
67,-67,-5
68,-222,205
69,221,301
70,1,-92
71,410,922
72,729,388
73,-63,-562
74,-309,-701
75,332,-607
76,-831,-216
77,486,-265
78,-517,-734
79,-514,-359
80,176,-69
81,435,-387
82,517,-601
83,958,-717
84,63,-56
85,570,37
86,354,-223
87,-79,264
88,-245,-239
89,-559,-562
90,3,-289
91,415,90
92,-503,-663
93,-933,-398
94,-83,852
95,484,-794
96,656,580
97,-933,84
98,-995,-779
99,-503,809
100,-492,-886
